Category,Phrase,random
au,"takes his father's car out after curfew, against his father's wishes","Given this information, how likely is it that __"
au,talks loudly in class while the instructor is teaching,au = Authority
au,talks loudly and interrupts the mayor's speech to the public,fa = Fairness
au,"sends out an email to other employees at his company, calling their company president an ""idiot""",sa = Sanctity
au,tries to undermine all of his boss's ideas in front of others,ca = Care
au,has a long and loud conversation with a group of friends during a religious service,lo = Loyalty
au,disobeys his boss; nothing bad happens as a result of his disobedience,"Modified from ""soldier"""
fa,skips to the front of the line because his friend is an employee,li = Liberty
fa,pretends to be seriously fouled by an opposing player during a local game,po = Politeness
fa,bribes his landlord to be the first to get his apartment repainted,
fa,edges out another person in a long line,
fa,takes a shortcut on the course during the marathon in order to win,
fa,"hires his nephew for a job, instead of a more qualified applicant",
fa,"requires all his employees to split their bonuses evenly, even though some earn larger bonuses than others","Modified from ""restaurant/server"" scenario"
sa,eats the flesh of a deceased relative as part of a group funeral rite,
sa,searches through the trash to find women's discarded underwear,"may need to change ""women"" if the gender is changed"
sa,writes erotic poetry about his pet cat,
sa,marries his first cousin in an elaborate wedding,
sa,"takes part in a performance art piece in which a group of people act like animals for 30 minutes, including crawling around naked and urinating on stage",
sa,looks at pornography in which an 18-year-old model has been digitally altered to look like she is 13,
sa,offers to have oral sex with anyone in the bar while drunk,Modified from being a drunk elderly person to just being drunk
ca,shoots geese repeatedly with a pellet gun out in the woods,
ca,spanks his child with a spatula for getting bad grades in school,
ca,makes fun of his brother for getting dumped by his girlfriend,
ca,tells a boy that his older brother is much more attractive than him,
ca,is driving along an empty road and sees a woman who is clearly injured; he does not stop to help her,
ca,laughs when he realizes his friend's dad is a janitor,
ca,tells a woman that her painting looks like it was done by children,
lo,jokes about the stupidity of people from his home country,
lo,shares a secret that his best friend entrusted to him; the secret is not damaging or embarrassing in any way and the friend never finds out that their secret has been shared,
lo,leaves his family business to go work for their main competitor,
lo,"gets a job in a foreign nation where his home country is viewed fairly negatively; in order to fit in among their coworkers, :: makes critical comments about their home country, though :: does not believe them",Fill in :: with the name!
lo,cheats on his spouse with an ex-lover; his spouse does not find out about the infidelity,
lo,"sells government secrets from his nation to another country; the information is classified, though the sale will not have any negative consequences for people in his home nation",
lo,celebrates with the opposing team's players who just won the game,Modified from being a coach to just being someone (presumably on the team)
li,tells his fiance that she has to switch to his political party,Fiance is gendered here
li,pressures his daughter to become a famous evening news anchor,
li,forces his daughter to enroll as a pre-med student in college,
li,tells his romantic partner that she must convert to his religion,"Also, use of ""they"" is a bit ambiguous"
li,is the leader of a club and tries to ban the wearing of hooded sweatshirts to club meetings,
li,imposes a curfew on all members of his immediate family,Modified from a mayor imposing on residents
li,is the leader of a club and bans members from wearing bright colors during club meetings,Modified from religious leader and congregants
po,eats a T-bone steak with his hands in a fancy restaurant,
po,tries to change the subject of conversation in the middle of his friend's sentence,
po,plays music through his headphones so loudly that other passengers can hear it while on a bus,
po,walks away while his conversation partner is still speaking,
po,"bumps into someone on the street while in a rush but does not say ""excuse me""",Modified from a college student specific response
po,goes to a birthday party for his friend but does not bring a gift,
po,ignores his personal hygiene and mental health in order to devote more time to his career,
